Concept Name,Territory,Location Name,Group Name,Department Name,Class Name,Subclass name,Item Code,Item Description,1.TY Net Sales,1.TY Retail Quantity,2.LY Net Sales,2.LY Retail Quantity,Fiscal Year,Date,HC-Price Range,HC Life Style,Active/Inactive,UDA,Range Name
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,12780.63,3,2024-25,July,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,4260,1,2024-25,August,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,1043.48,0,2024-25,September,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,2739.13,1,2024-25,December,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,,,-4868.7,-1,2024-25,January,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,8346.08,2,,,2025-26,August,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,3595.1,1,,,2025-26,September,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,162843310,Adele 200x200 Bed-Light Cream/Gold,3668.76,1,,,2025-26,October,PREMIUM,MODERN LUXE,CURRENT,C,Adele
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,164067383,Hannah 200x200 superking Bed - HG White/Silver,,,1720.87,1,2024-25,August,MID,MODERN LUXE,DISCONTINUED,D,Hannah
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,164067383,Hannah 200x200 superking Bed - HG White/Silver,,,1146.96,1,2024-25,September,MID,MODERN LUXE,DISCONTINUED,D,Hannah
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,166481467,Amara 200x200 Super King Bed - Walnut,,,2151.52,1,2024-25,July,PREMIUM,HOMESTEAD,DISCONTINUED,D,Amara
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,166481467,Amara 200x200 Super King Bed - Walnut,,,2008.09,1,2024-25,August,PREMIUM,HOMESTEAD,DISCONTINUED,D,Amara
Home Centre,Riyadh - KSA,1.Tabuk,Furniture,Bedroom,Beds,Super King Bed,166481467,Amara 200x200 Super King Bed - Walnut,,,2086.09,1,2024-25,September,PREMIUM,HOMESTEAD,DISCONTINUED,D,Amara
